location_name,latitude,longitude
Jurong East MRT North Exit,1.3331,103.7423
Westgate PUDO,1.3340,103.7428
IMM Drop-off,1.3346,103.7460
Ng Teng Fong Hospital PUDO,1.3347,103.7455
JEM Taxi Stand PUDO,1.3338,103.7439
Toh Guan PUDO,1.3394,103.7431
Clementi North PUDO,1.3220,103.7647
